event_id,application_id,stage,stage_ts,actor_type
cf896b56-9083-4eef-b4e7-39936b4a78d0,ea806a63-fe52-4744-8784-7255e8a4eea3,APPLIED,2023-05-30 00:00:00.000000,Candidate
a90a4e07-4a6a-4117-b16c-e38c8e0cb8d7,ea806a63-fe52-4744-8784-7255e8a4eea3,SCREEN,2023-06-02 05:52:54.154230,Recruiter
17001f3e-2aa5-4370-99b8-719916450564,ea806a63-fe52-4744-8784-7255e8a4eea3,ONSITE,2023-06-08 16:36:30.011745,Recruiter
03529065-fa00-4839-8839-c6f154830583,ea806a63-fe52-4744-8784-7255e8a4eea3,OFFER,2023-06-15 15:14:30.880821,Recruiter
cafdf1bd-e6d9-45e8-baaa-d86bd91c6a19,ea806a63-fe52-4744-8784-7255e8a4eea3,HIRED,2023-06-22 16:20:50.440008,Recruiter
d3107bbf-f205-4ad4-934e-5a75ee963ae7,fc8b3436-ea32-4e26-83e7-b948dd982e34,APPLIED,2023-06-08 00:00:00.000000,Candidate
61261f0d-1f21-46d5-9622-dce54e650525,fc8b3436-ea32-4e26-83e7-b948dd982e34,SCREEN,2023-06-10 03:34:13.722636,Recruiter
cb41c8b0-c441-4ce0-a175-35e9692c93a2,fc8b3436-ea32-4e26-83e7-b948dd982e34,REJECTED,2023-06-14 10:42:45.423395,System
5b8ed043-2ab1-4869-b868-bdce5e691730,4f729e57-8fce-4132-b846-c47ac43c3648,APPLIED,2023-11-05 00:00:00.000000,Candidate
52d9f322-2276-44a8-91c5-5d3f5b2e8932,4f729e57-8fce-4132-b846-c47ac43c3648,WITHDRAWN,2023-11-18 07:36:15.949039,Candidate
12c44e9a-7feb-479b-af64-afc8122c5319,fa576a56-cea5-406f-b68e-1c774302c7d1,APPLIED,2023-05-11 00:00:00.000000,Candidate
6fe84bb6-d2b4-45c6-bc43-01acf0a1dafb,fa576a56-cea5-406f-b68e-1c774302c7d1,REJECTED,2023-05-21 01:40:25.442395,System
1ecae746-1a35-4920-8412-4e19d83732a8,59637ec9-3818-45cb-9df9-b5a480137e47,APPLIED,2023-07-11 00:00:00.000000,Candidate
2bd31277-079c-4c0c-98ee-f3471e3f97f8,59637ec9-3818-45cb-9df9-b5a480137e47,SCREEN,2023-07-12 19:05:56.119583,Recruiter
85a82d6a-9de1-4a13-9306-fd5fd0851040,59637ec9-3818-45cb-9df9-b5a480137e47,REJECTED,2023-07-19 10:09:47.682880,System
9d797861-a7af-4f15-80ff-bf66a90fc2d7,8fb95e94-3371-450a-90b4-748f989b885a,APPLIED,2023-05-07 00:00:00.000000,Candidate
