application_id,candidate_id,req_id,apply_ts,recruiter_id
ea806a63-fe52-4744-8784-7255e8a4eea3,787d3050-9eb5-4d39-b629-c2a6f5dc3b67,0fc092d6-eb70-4443-88a4-539df5984985,2023-05-30 00:00:00,7c5d54c1-dd5e-439c-ab3a-831127cd5086
fc8b3436-ea32-4e26-83e7-b948dd982e34,787d3050-9eb5-4d39-b629-c2a6f5dc3b67,2999ca6c-3652-4c70-9179-8594353a2334,2023-06-08 00:00:00,8fb7bab2-41e8-48e5-8afb-36859b577224
4f729e57-8fce-4132-b846-c47ac43c3648,787d3050-9eb5-4d39-b629-c2a6f5dc3b67,298e9938-10ec-49ce-a8fa-8d489dd59b89,2023-11-05 00:00:00,560099a2-8752-4e63-a28b-be062894ccec
fa576a56-cea5-406f-b68e-1c774302c7d1,4614d131-1d6f-46be-b0be-b4ee0b51197e,50a8d5c1-5a03-44be-b19e-accfadaf3dec,2023-05-11 00:00:00,91deb205-a06b-4dfc-9659-2f24e8ca6264
59637ec9-3818-45cb-9df9-b5a480137e47,43f37c04-c3c3-4691-bfd8-e2030ce059e3,79ea4879-1d81-439d-b1bf-b32146e0bec0,2023-07-11 00:00:00,
8fb95e94-3371-450a-90b4-748f989b885a,808ccf41-7c57-4759-8497-402eaaf29cba,9387226e-4e4c-49bb-a916-35d12fea0184,2023-05-07 00:00:00,91deb205-a06b-4dfc-9659-2f24e8ca6264
0137656c-7e66-402a-b06f-d405d63d23c8,808ccf41-7c57-4759-8497-402eaaf29cba,070f5c11-cef3-413c-aa9d-1e3cb8698ea4,2023-10-25 00:00:00,8a90310c-551b-436d-8224-9e7465acf928
119f49ae-f2eb-4b0c-a84a-3f92ad83d56e,b6f8ce34-8d88-4a14-99e1-659fcf160957,6b6632f1-1680-462a-94b1-1dc609339120,2023-05-23 00:00:00,ec827e93-ce87-4c52-8ad9-fc5359956ece
4e02e95f-1e14-4d54-b940-6f2147f04608,586bcbf0-4a9c-4477-892d-ec6b576e0619,814a141f-8a18-4b4b-b8d1-8a88ba7d08a1,2023-02-15 00:00:00,e401312f-1165-498e-bd40-32cb8bcf5f94
be9ae0f1-d4ad-4cbd-a0d2-e1916e489af3,8819508b-f358-4037-870a-5fa9c0928cb9,814a141f-8a18-4b4b-b8d1-8a88ba7d08a1,2023-03-11 00:00:00,0bfbcc20-3c78-499e-9d95-c23a46946100
33152517-e18a-4525-9d2a-a678075243c9,8819508b-f358-4037-870a-5fa9c0928cb9,6f00c8c0-6557-4ed4-9512-1493d58c1a22,2023-06-02 00:00:00,7c5d54c1-dd5e-439c-ab3a-831127cd5086
b878fe8b-2f37-438e-b9cd-0fe2116690d5,ee6e0dc4-844b-4be6-8542-f451d31ea8b7,814a141f-8a18-4b4b-b8d1-8a88ba7d08a1,2023-01-31 00:00:00,1a13f2ee-73b7-476c-b7de-17787041ad7d
3c159502-40ec-4743-afba-ed076e2b47b1,ee6e0dc4-844b-4be6-8542-f451d31ea8b7,0fc092d6-eb70-4443-88a4-539df5984985,2023-05-10 00:00:00,fcf245ec-97e5-46a5-80f2-f782fe73933a
2e3cce4e-f646-46b1-98a6-1c7fb1697de7,ee6e0dc4-844b-4be6-8542-f451d31ea8b7,eb60bb96-80ce-4a86-85c6-61c11cc26be0,2023-07-23 00:00:00,c1455439-3736-4193-ac88-493f5f1e11a6
b3285b86-b658-403c-bec7-551920ca3db7,8856ec74-6254-4e50-bba1-c3c87c72f7be,d01391ce-3ef8-4ee1-a9db-535ebccf7d51,2023-06-06 00:00:00,ce75e67e-8e7a-4b4e-8d0f-99084fe08651
f023291a-54db-44f1-93a3-e24d45a2600c,776ff946-e5aa-4fb3-aabf-960acb24fe0f,ed6f2c63-29b5-4a82-bdd9-93bd6bc54e89,2023-06-11 00:00:00,a2429233-9e14-4dd5-b9d0-5c6f1379a710
9cd9e878-2e62-452c-acf8-edbd7dd71635,776ff946-e5aa-4fb3-aabf-960acb24fe0f,c5064f07-fabd-4d66-96c5-2645d82be0a8,2023-08-20 00:00:00,2b588155-b2a3-4af6-8a33-452a10dd3e98
da9ea0ff-e0b1-41eb-b669-a01213ca8f9b,efa9ae44-9e24-42d7-ab65-30684747af66,f1f6694f-4881-4359-824e-dcdaa2d9192c,2023-08-10 00:00:00,32f87fcb-bc3c-4815-a6f1-765845120c00
04a9d7e2-dc6a-4cc6-86a2-c4dcbb5c89c4,b5d50912-5cdf-432b-9c00-e27f5e446e83,8fc38a72-956b-4544-91cd-9f53e23153f1,2023-07-11 00:00:00,ec827e93-ce87-4c52-8ad9-fc5359956ece
2dcc15ff-638e-4b8b-8586-ab32bf5a6a37,bb3c5941-3d07-4a39-b239-f242c4f76def,ac4b66b9-fac4-4c30-9a1e-9f83dfddc553,2023-07-03 00:00:00,01c9b241-d222-4a7e-b8a9-a829d1bca613
fbaaa327-6f76-4bb1-8913-8edc2b51186c,bb3c5941-3d07-4a39-b239-f242c4f76def,284eef2f-8c80-40f8-a015-fc06158a9ec8,2023-10-26 00:00:00,064d35d5-e57e-4813-adef-80c1a8486ef7
cfba7fe7-1423-4b2e-93a4-d8a105f55d9c,9d0ff533-c3c2-4946-b550-ae86097c7959,a4f44ba7-4ead-4c9e-a3b2-39384e6bc04c,2023-05-09 00:00:00,
e90b2aef-a713-4dd2-a449-bb7f782d62b3,3f684740-3479-4bf3-98f7-cd910f075ff7,6f00c8c0-6557-4ed4-9512-1493d58c1a22,2023-06-04 00:00:00,01c9b241-d222-4a7e-b8a9-a829d1bca613
5b6b2435-3cb7-47d4-bf96-dc669ce4b8fc,e516b8b2-a5dc-49a8-8e5b-2d4a585acb7d,af473f42-b985-421d-a8e7-d89b0e039a7a,2023-03-06 00:00:00,95aa8ad3-3dae-4b18-a508-c6647d4077aa
9105f917-993c-4f79-af82-ab021bdabe15,6744b9ac-d0db-4c81-94e0-86f16e30d4f1,dfce5695-d389-49b3-afe5-e964750639b8,2023-07-07 00:00:00,ec827e93-ce87-4c52-8ad9-fc5359956ece
597ff7a3-33fc-44e3-ab61-d5f56bcefbd5,ad7f6ad2-8cd8-45b9-883a-fcaf51df08dd,888d7c91-9599-4888-9a04-1935cb85ca4a,2023-09-07 00:00:00,1680ea61-ee37-40e1-8ac6-cf0e648b3dd9
f81fa8c2-40a0-4f0b-8a8f-8855363ad832,a9ca4120-62ac-43c3-89ef-324ed9659382,9387226e-4e4c-49bb-a916-35d12fea0184,2023-05-03 00:00:00,95aa8ad3-3dae-4b18-a508-c6647d4077aa
82cf6219-51cc-4877-9665-ebfeab249043,daa68087-381f-4481-a71e-722133f40c7f,4a8e334b-e27d-473d-9b99-435012ce6b46,2023-12-11 00:00:00,61c6f21f-040b-43f8-94e0-2999b6eb398d
934f191c-da4a-4880-beba-79b40d4ac4d0,c7fcecaf-8c19-4fa8-b618-7a69ebc70ee7,28cf014f-c16f-4c01-b9bf-0c02072182ff,2023-03-12 00:00:00,7cad05cc-18bd-44c3-8753-36d4ba7897a1
723fe143-016d-4f10-8932-dace07a24490,9e84a7f2-6826-4e7c-81c1-04bc983e6108,75b1a777-81a7-4849-9964-2c0a8a94c7ec,2023-11-11 00:00:00,fe5ea447-50d4-45af-a670-950c31be73a9
a26ab63c-1eef-4aa0-b461-b5d7effe1638,d2b4d964-eb84-4dbf-af61-964ef25645dd,2c0ac058-e6e4-484f-a9b2-310cf3929a4e,2023-02-17 00:00:00,1680ea61-ee37-40e1-8ac6-cf0e648b3dd9
7c6bedba-22e1-43c5-8400-6e9c7bccc49b,75962e23-d938-41dd-8b20-36a8a0866f3a,f7d46b36-4bea-4a18-b795-8a915ad3b6e9,2023-12-03 00:00:00,ec827e93-ce87-4c52-8ad9-fc5359956ece
638dab72-bac1-4dc5-9ecf-4e9322c58371,875e46c4-6759-401c-9f8e-9a5ac61f6062,c5064f07-fabd-4d66-96c5-2645d82be0a8,2023-11-21 00:00:00,
274c1e6b-c961-4cc1-9280-6c8bff2be33b,728ba9ad-5999-44ee-8437-281af07f19b2,253cf031-bd28-4610-9d97-c99f31e530b8,2023-10-26 00:00:00,32f87fcb-bc3c-4815-a6f1-765845120c00
f7ccad29-3cbd-42be-9a86-0188b522730c,c97f6787-c8f2-4696-8929-fe62348c9310,93a2b158-2dad-4c69-8e02-89f224b00a45,2023-09-02 00:00:00,560099a2-8752-4e63-a28b-be062894ccec
